species,unique_id,kmer_size,seq_length,madb_time,madb_score,madb_distance,madb_bubbles,madb_braids,madb_cycles,madb_longest_braid_length,jaccard_distance,ensembl_pd,ensembl_score,cogent3_time,cogent3_score,cogent3_pd,madb_ungapped_sw_length,ungapped_sw_time
Chimpanzee,ENSG00000204518.fa,10,273,0.006043672561645508,269.97780490935605,0.01098901098901099,0,1,False,273,0.18556701030927836,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
Chimpanzee,ENSG00000204518.fa,15,273,0.004887580871582031,269.97780490935605,0.01098901098901099,0,1,False,273,0.25,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
Chimpanzee,ENSG00000204518.fa,20,273,0.0046863555908203125,269.97780490935605,0.01098901098901099,0,1,False,273,0.31229235880398676,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
Chimpanzee,ENSG00000204518.fa,25,273,0.004398822784423828,269.97780490935605,0.01098901098901099,0,1,False,273,0.3509933774834437,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
Chimpanzee,ENSG00000204518.fa,30,273,0.0052487850189208984,269.97780490935605,0.01098901098901099,0,1,False,273,0.3841059602649006,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
Chimpanzee,ENSG00000204518.fa,35,273,0.0044345855712890625,269.97780490935605,0.01098901098901099,0,1,False,273,0.41721854304635764,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
Chimpanzee,ENSG00000204518.fa,40,273,0.004300832748413086,269.97780490935605,0.01098901098901099,0,1,False,273,0.45033112582781454,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
Chimpanzee,ENSG00000204518.fa,45,273,0.004121303558349609,269.97780490935605,0.01098901098901099,0,1,False,273,0.48344370860927155,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
Chimpanzee,ENSG00000204518.fa,50,273,0.004009723663330078,269.97780490935605,0.01098901098901099,0,1,False,273,0.5165562913907285,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
Chimpanzee,ENSG00000204518.fa,55,273,0.004931211471557617,269.97780490935605,0.01098901098901099,0,1,False,273,0.5496688741721854,0.01098901098901099,269.97780490935605,0.008650064468383789,269.97780490935605,0.01098901098901099,273,0.005671024322509766
